CODE,PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,Campanna1,Campanna2,Campanna3,Zona_Renta,REV_Garantia,Averia_grave,QUEJA_CAC,COSTE_VENTA,km_anno,Revisiones,Edad_Cliente,Comunidad
CLIX1501,8,6,1,1.0,1,2,0,0,1,1,0,0,3.0,1,0.0,0,5310,17692,2,40,1
CLIX1502,8,6,1,1.0,1,3,0,0,1,1,0,0,2.0,1,2.0,1,5062,10933,3,48,18
CLIX1503,8,6,1,1.0,1,0,3,0,2,0,1,0,1.0,1,2.0,0,4234,30020,2,48,11
CLIX1504,8,6,1,1.0,1,3,0,1,1,0,0,0,1.0,1,2.0,0,1903,14167,2,48,9
CLIX1505,8,6,1,1.0,1,2,0,1,1,1,0,0,1.0,1,2.0,0,2799,28788,3,48,9
CLIX1506,8,6,1,1.0,1,3,3,0,1,0,0,0,3.0,1,2.0,1,1903,22946,2,58,5
CLIX1507,8,6,1,1.0,1,2,0,0,1,1,0,0,2.0,1,0.0,0,2799,20305,3,61,6
CLIX1508,8,6,1,1.0,1,2,0,0,1,1,0,0,3.0,1,2.0,0,2799,9184,2,60,18
CLIX1509,8,6,1,1.0,1,3,0,1,1,0,0,0,1.0,0,1.0,0,1903,0,2,43,4
CLIX1510,8,6,1,1.0,1,2,0,1,1,1,0,0,3.0,0,3.0,1,2799,0,2,36,9
CLIX1511,8,6,1,1.0,1,0,0,1,1,1,0,0,3.0,1,1.0,0,3682,19784,2,53,7
CLIX1512,8,6,1,1.0,1,3,0,1,1,1,0,0,3.0,1,2.0,0,3682,25376,1,52,18
CLIX1513,8,6,1,1.0,1,2,0,1,1,1,0,0,1.0,1,0.0,0,2799,7994,1,45,7
CLIX1514,8,6,1,1.0,1,2,0,1,1,1,0,0,3.0,1,2.0,0,4198,35667,0,47,9
CLIX1515,8,6,1,1.0,1,0,0,1,1,0,0,0,3.0,1,3.0,1,1903,23538,2,47,7
CLIX1516,8,6,1,1.0,1,0,0,1,1,1,0,0,1.0,1,3.0,1,1903,16191,2,44,12
CLIX1517,8,6,1,1.0,1,2,0,1,1,1,0,0,2.0,1,1.0,0,2799,22773,2,57,18
CLIX1518,8,6,1,1.0,1,3,0,1,1,0,1,0,1.0,1,1.0,0,1903,11803,2,47,17
CLIX1519,8,6,1,1.0,1,0,0,1,1,0,0,0,1.0,1,3.0,1,2712,18297,1,56,6
CLIX1520,8,6,1,1.0,1,2,0,1,1,1,0,0,2.0,1,3.0,1,2799,18974,1,36,7
CLIX1521,8,6,1,1.0,1,3,0,1,1,1,0,0,3.0,1,0.0,0,3682,11299,2,34,18
CLIX1522,8,6,1,1.0,1,3,3,1,0,0,0,0,1.0,1,3.0,1,1903,20708,2,43,18
CLIX1523,8,6,1,1.0,1,2,3,0,1,1,0,0,2.0,1,3.0,1,2799,18475,1,59,14
CLIX1524,8,6,1,1.0,1,2,0,1,1,1,0,0,1.0,1,3.0,1,2799,19659,2,55,9
CLIX1525,8,6,1,1.0,1,0,0,0,1,0,0,0,2.0,1,0.0,0,1903,16148,1,59,14
CLIX1526,8,6,1,1.0,1,2,0,1,1,1,0,0,1.0,1,0.0,0,5026,20588,2,42,17
CLIX1527,8,6,1,1.0,1,0,0,1,1,1,0,0,3.0,1,0.0,0,3682,26693,1,41,14
