CODE,PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,Campanna1,Campanna2,Campanna3,Zona_Renta,REV_Garantia,Averia_grave,QUEJA_CAC,EDAD_COCHE,COSTE_VENTA,km_anno,Mas_1_coche,Revisiones,Edad_Cliente,Tiempo,Comunidad
CLI96,0,0,0,0.0,1,2,3,1,1,0,0,1,3.0,0,2.0,0,168,4193,0,0,0,19,0,15
CLI97,0,0,0,0.0,1,3,3,1,1,0,0,0,3.0,0,0.0,0,193,2031,0,0,2,31,0,3
CLI98,0,0,0,0.0,1,2,3,0,1,1,0,1,3.0,0,1.0,0,223,1376,0,0,2,30,0,19
CLI99,0,0,0,0.0,1,3,0,0,1,1,0,0,3.0,1,3.0,1,24,2892,7363,1,1,38,6,12
CLI100,0,0,0,0.0,1,2,1,0,1,1,0,1,1.0,1,0.0,0,226,920,20320,0,2,62,0,7
CLI101,0,0,0,0.0,1,2,0,1,1,1,0,0,1.0,0,3.0,1,243,3850,0,1,2,21,5,13
CLI102,0,0,0,0.0,1,2,3,1,1,1,0,1,3.0,0,0.0,0,216,3555,0,1,1,18,5,3
CLI103,0,0,0,0.0,1,2,0,0,1,0,0,1,3.0,0,1.0,0,172,2169,0,0,1,20,0,7
CLI104,0,0,0,0.0,1,3,0,1,0,0,0,0,3.0,0,3.0,1,202,1362,0,1,1,18,3,3
CLI105,0,0,0,0.0,1,2,3,0,1,1,0,0,1.0,1,0.0,0,243,3168,4105,1,2,42,6,3
CLI106,0,0,0,0.0,1,2,0,0,2,1,0,0,3.0,1,0.0,0,235,1560,13844,1,1,61,6,12
CLI107,0,0,0,0.0,1,0,3,0,1,0,0,0,3.0,0,3.0,1,227,1376,0,1,2,29,3,9
CLI108,0,0,0,0.0,1,0,0,0,1,0,0,0,3.0,1,3.0,1,239,1818,6847,0,1,23,0,3
CLI109,0,0,0,0.0,1,3,0,0,1,1,0,0,2.0,0,0.0,0,227,3555,0,1,1,22,5,3
CLI110,0,0,0,0.0,1,3,3,1,1,1,0,0,1.0,1,3.0,1,246,2892,10025,1,1,39,6,13
CLI111,0,0,0,0.0,1,2,3,0,1,1,0,0,1.0,1,0.0,0,229,2015,5622,0,1,38,0,12
CLI112,0,0,0,0.0,1,2,0,1,1,1,0,1,3.0,0,3.0,1,17,1590,0,0,1,26,0,13
CLI113,0,0,0,0.0,1,2,3,0,1,0,0,1,1.0,0,0.0,0,183,2169,0,0,1,30,0,19
CLI114,0,0,0,0.0,1,2,0,1,1,1,0,0,3.0,0,3.0,1,201,2228,0,0,0,28,0,7
CLI115,0,0,0,0.0,1,2,0,0,1,1,0,0,3.0,1,3.0,1,233,2015,8339,0,1,59,0,9
CLI116,0,0,0,0.0,1,3,0,1,1,0,0,0,1.0,1,0.0,0,226,2727,35494,1,2,44,5,3
CLI117,0,0,0,0.0,1,2,1,0,1,1,0,0,3.0,0,0.0,0,244,3850,0,1,2,28,5,7
CLI118,0,0,0,0.0,1,2,1,0,1,1,0,0,3.0,1,3.0,1,229,2015,10339,0,2,53,0,7
CLI119,0,0,0,0.0,1,3,3,1,1,0,0,0,3.0,0,1.0,0,185,2031,0,1,1,22,4,3
CLI120,0,0,0,0.0,1,2,3,1,2,1,0,0,1.0,0,1.0,0,21,2456,0,0,0,21,0,3
CLI121,0,0,0,0.0,1,3,3,0,2,0,0,0,1.0,0,0.0,0,211,1818,0,0,1,22,0,3
CLI122,0,0,0,0.0,1,2,3,0,1,1,0,0,1.0,0,3.0,1,231,2015,0,0,1,23,0,13
CLI123,0,0,0,0.0,1,2,3,0,1,1,0,0,3.0,0,0.0,0,196,2670,0,0,1,29,0,3
CLI124,0,0,0,0.0,1,2,0,0,1,1,0,0,2.0,0,0.0,0,193,2228,0,0,0,27,0,13
CLI125,0,0,0,0.0,1,0,3,0,1,0,0,0,3.0,0,3.0,1,167,1590,0,0,1,29,0,7
CLI126,0,0,0,0.0,1,2,0,0,1,1,0,1,3.0,1,3.0,1,252,3271,9477,1,2,48,7,13
CLI127,0,0,0,0.0,1,0,0,0,1,0,0,0,3.0,1,0.0,0,242,1376,8616,0,2,37,0,19
CLI128,0,0,0,0.0,1,1,0,1,1,0,0,0,2.0,0,0.0,0,193,1590,0,0,0,18,0,7
CLI129,0,0,0,0.0,1,1,0,0,1,0,0,0,3.0,0,1.0,0,195,1590,0,0,1,31,0,7
CLI130,0,0,0,0.0,1,3,0,1,1,0,0,0,3.0,0,1.0,0,212,1818,0,0,2,23,0,3
CLI131,0,0,0,0.0,1,0,0,0,1,0,0,0,3.0,1,3.0,1,243,920,15224,0,1,57,0,13
CLI132,0,0,0,0.0,1,2,3,0,1,0,0,1,3.0,0,1.0,0,159,2169,0,0,0,26,0,7
CLI133,0,0,0,0.0,1,0,0,1,1,1,0,0,2.0,1,0.0,0,237,2870,10237,1,1,50,6,3
CLI134,0,0,0,0.0,1,3,0,0,1,0,0,1,2.0,0,2.0,0,18,2385,0,1,2,29,4,19
CLI135,0,0,0,0.0,1,0,0,0,2,1,0,0,3.0,0,0.0,0,243,1376,0,0,1,18,0,7
CLI136,0,0,0,0.0,1,2,0,1,1,1,0,0,3.0,1,0.0,0,235,2015,13606,1,1,60,6,7
CLI137,0,0,0,0.0,1,0,0,1,1,0,0,0,3.0,0,3.0,1,224,1376,0,1,2,27,3,9
CLI138,0,0,0,0.0,1,0,3,0,1,1,0,0,1.0,1,3.0,1,244,2892,16300,0,1,41,0,5
CLI139,0,0,0,0.0,1,3,2,1,1,0,0,0,3.0,1,3.0,1,237,920,22763,0,2,46,0,7
CLI140,0,0,0,0.0,1,0,0,0,1,0,0,0,3.0,1,0.0,0,246,920,3326,1,1,41,3,15
CLI141,0,0,0,0.0,1,2,3,0,1,1,0,0,1.0,0,2.0,0,224,2002,0,0,2,29,0,3
CLI142,0,0,0,0.0,1,2,0,1,1,1,0,0,3.0,0,0.0,0,222,1560,0,0,1,19,0,7
