CODE;PRODUCTO;TIPO_CARROCERIA;COMBUSTIBLE;Potencia_;TRANS;FORMA_PAGO;ESTADO_CIVIL;GENERO;OcupaciOn;PROVINCIA;Campanna1;Campanna2;Campanna3;Zona _Renta;REV_Garantia;Averia_grave;QUEJA_CAC;COSTE_VENTA;km_anno;Revisiones;Edad Cliente
CLIX9777;H;TIPO7;FUEL 1;Media;A;Contado;SOLTERO;M;Empresa;Madrid;NO;NO;NO;Medio;NO DATA;No;NO;1317;0;2;62
CLIX9778;H;TIPO7;FUEL 1;Media;A;Financiera Marca;CASADO;M;Empresa;Barcelona;SI;NO;SI;Alto;NO DATA;No;NO;2804;0;2;30
CLIX9779;H;TIPO7;FUEL 1;Media;A;Financiera Marca;CASADO;M;Empresa;Valencia;NO;NO;SI;NA;NO DATA;No;NO;1897;0;0;63
CLIX9780;H;TIPO7;FUEL 1;Media;A;Financiera Marca;CASADO;M;Empresa;Barcelona;SI;NO;SI;NA;NO DATA;No;NO;1317;0;1;54
CLIX9781;H;TIPO7;FUEL 1;Media;A;Financiera Marca;CASADO;M;Empresa;Madrid;SI;NO;SI;NA;NO DATA;No;NO;1317;0;1;71
CLIX9782;H;TIPO7;FUEL 1;Media;A;Contado;SOLTERO;M;Empresa;Alicante;NO;NO;NO;NA;NO DATA;No;NO;1317;0;0;67
CLIX9783;H;TIPO7;FUEL 2;Media;M;Contado;CASADO;M;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;No;NO;1369;0;2;23
CLIX9784;H;TIPO7;FUEL 2;Media;M;Financiera Marca;CASADO;M;Empresa;Vizcaya;NO;NO;SI;Medio-Bajo;NO DATA;Averia muy grave;SI;1949;0;0;25
CLIX9785;H;TIPO7;FUEL 2;Media;M;Contado;CASADO;M;Empresa;Granada;NO;NO;NO;Alto;NO DATA;No;NO;1369;0;1;52
CLIX9786;H;TIPO7;FUEL 2;Media;M;Contado;EN PAREJA;F;Empresa;Malaga;NO;NO;NO;NA;NO DATA;No;NO;1750;0;0;23
CLIX9787;H;TIPO7;FUEL 1;Media;M;Contado;CASADO;M;Empresa;Granada;NO;NO;NO;Alto;NO DATA;No;SI;1317;0;1;50
CLIX9788;H;TIPO7;FUEL 1;Media;A;Financiera Marca;CASADO;M;Empresa;Sevilla;SI;NO;SI;Alto;NO DATA;No;SI;1317;0;2;45
CLIX9789;H;TIPO7;FUEL 1;Media;A;Financiera Marca;CASADO;M;Autonomo;Madrid;SI;NO;SI;NA;NO DATA;No;NO;1317;0;1;40
